Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
B06-rep3;blank;control;sequencing;B06;B06;3
B07-rep3;blank;control;sequencing;B07;B07;3
B08-rep3;blank;control;sequencing;B08;B08;3
B09-rep3;blank;control;sequencing;B09;B09;3
B10-rep3;blank;control;sequencing;B10;B10;3
B11-rep3;blank;control;sequencing;B11;B11;3
B12-rep3;blank;control;sequencing;B12;B12;3
E08-rep1;extraction;control;sequencing;E08;E08;1
E08-rep2;extraction;control;sequencing;E08;E08;2
E08-rep3;extraction;control;sequencing;E08;E08;3
